phylum	class	order	family	subfamily	genus	subgenus	species	author_year
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Antispira		praecox	Perner 1903
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Invertospira			Horný 1964
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis			Koken and Perner 1925
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis		rugifera	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Helicotis		rugifera	(Koken 1897)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella			Endo 1937
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		circe	(Walcott 1905)
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kobayashiella		heritagensis	Webers et al. 1992
Mollusca	Paragastropoda	Mimospirida	Onychochilidae		Kistasella			Missarzhevsky 1989
